id;intitule_arrete;numero_arrete;date_signature;nombre_agrement
1;input;engineer Kids firmware;2021-05-22;71695
2;users;cross-media Palau copying;2021-05-23;33260
3;Analyst Bedfordshire calculating;Steel capacity Chips;2021-05-22;26700
4;tan seamless knowledge base;Granite;2021-05-22;60165
5;infrastructures hard drive Mauritius Rupee;CSS Facilitator web-enabled;2021-05-22;10447
6;CSS;protocol;2021-05-23;84128
7;Hat;Samoa product;2021-05-22;61864
8;users mobile;connect sky blue;2021-05-23;9027
9;bus purple;incremental attitude;2021-05-23;53758
10;Optimization;indigo infomediaries Georgia;2021-05-23;44132
