id;code_categorie;libelle
1;Jordanian Dinar Health;../fake-data/blob/hipster.txt
2;redundant optical green;../fake-data/blob/hipster.txt
3;world-class withdrawal payment;../fake-data/blob/hipster.txt
4;Serbian Dinar Place;../fake-data/blob/hipster.txt
5;engage mindshare;../fake-data/blob/hipster.txt
6;JSON matrices Automotive;../fake-data/blob/hipster.txt
7;Berkshire redefine;../fake-data/blob/hipster.txt
8;Shore Cambridgeshire;../fake-data/blob/hipster.txt
9;haptic Dynamic Cambridgeshire;../fake-data/blob/hipster.txt
10;Investment Account;../fake-data/blob/hipster.txt
