id;code_domaine;libelle
1;Associate;../fake-data/blob/hipster.txt
2;Frozen hack;../fake-data/blob/hipster.txt
3;encoding Alabama multi-byte;../fake-data/blob/hipster.txt
4;invoice Devolved Lead;../fake-data/blob/hipster.txt
5;structure;../fake-data/blob/hipster.txt
6;proactive 24/7;../fake-data/blob/hipster.txt
7;core programming;../fake-data/blob/hipster.txt
8;modular Frozen Plastic;../fake-data/blob/hipster.txt
9;parsing Kroon;../fake-data/blob/hipster.txt
10;Ridge;../fake-data/blob/hipster.txt
